type,title,location,bedroom,bathroom,size_sqm,price,type_encoded,location_complexity,location_encoded,room_density,bed_bath_ratio,size_category
Apartment,Townhouse middle in layan residence  New Cairo,"The Sierras, Uptown Cairo, Mokattam, Cairo",3.0,3,186.0,6000000.0,3,4,753,0.016129032258064516,0.75,2
Duplex,Apartment With Very Prime Location In Eastown ,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",4.0,5,386.0,11000000.0,5,4,242,0.010362694300518135,0.6666666666666666,4
Apartment,Twin house for sale in Mivida 80% finishing,"De Joya, New Capital Compounds, New Capital City, Cairo",3.0,3,173.0,2198000.0,3,4,266,0.017341040462427744,0.75,2
Townhouse,apartment Stone Residence New Cairo Compound,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,3,266.0,5250000.0,6,5,452,0.015037593984962405,1.0,3
Apartment,Apartment Lowest price in the market in Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,3,140.0,3500000.0,3,5,488,0.014285714285714285,0.5,2
Townhouse,Townhouse Corner For Sale in Layan Facing North,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,390.0,6000000.0,6,5,452,0.007692307692307693,0.6,4
Apartment,Apartment 4 sale 160m fifth square lowest price,"Fifth Square, North Investors Area, New Cairo City, Cairo",3.0,2,160.0,2900000.0,3,4,347,0.01875,1.0,2
Penthouse,Penthouse 238m  +  pool in GALLARIA MOON VALLEY,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",4.0,4,238.0,4618000.0,7,4,355,0.01680672268907563,0.8,3
Apartment,For sale an apartment of165m in ROCK VERA COMPOUND,"Rock Vera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,165.0,1765000.0,3,5,619,0.01818181818181818,0.75,2
Apartment,Apartment ready to move in Mountain View I City,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,220.0,3300000.0,3,5,535,0.013636363636363636,0.75,3
Apartment,Apartment fully  furnished at cairo festival ⭐⭐⭐,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",3.0,3,210.0,7500000.0,3,4,242,0.014285714285714285,0.75,3
Apartment,Apartment in Green square Mostakbal City,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,104.0,3500000.0,3,5,794,0.019230769230769232,0.6666666666666666,2
Apartment,prime location VILLA 556 in palm hills katameya EX,"Green Square, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2.0,2,165.0,2100000.0,3,4,377,0.012121212121212121,0.6666666666666666,2
Villa,Apartment For Sale in Fifth Square Prime Location,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,6,556.0,9250000.0,8,5,581,0.008992805755395683,0.7142857142857143,4
Apartment,8 master bedroom villa for sale at katameya creeks,"Fifth Square, North Investors Area, New Cairo City, Cairo",3.0,2,144.0,2467000.0,3,4,347,0.020833333333333332,1.0,2
Villa,amazing price - open view - super lux,"Katameya Creeks, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8.0,8,750.0,32000000.0,8,5,424,0.010666666666666666,0.8888888888888888,4
Apartment,Apartment for sale in Lake View Residence 157m,"Sarayat Al Maadi, Hay El Maadi, Cairo",3.0,2,240.0,4500000.0,3,3,633,0.0125,1.0,3
Apartment,Spacious Area | Special Finishing | Garden 550m,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,3,157.0,2700000.0,3,5,449,0.012738853503184714,0.5,2
Villa,stand alone in Mountain view 2,"Al Patio 2, North Investors Area, New Cairo City, Cairo",5.0,6,825.0,23000000.0,8,4,146,0.006060606060606061,0.7142857142857143,4
Villa,شقة للبيع 168م في كمبوند سكوير أميز موقع بسعر مميز,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,3,450.0,14000000.0,8,5,530,0.011111111111111112,1.25,4
Apartment,apartment for sale eastown 191m nice price ,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,168.0,2200000.0,3,5,754,0.017857142857142856,0.75,2
Apartment,LV Under Market Price for Sale in Villette 655m,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,191.0,4250000.0,3,5,291,0.015706806282722512,0.75,2
Villa,Villa 6 rooms 518 m - Pool and land scape view   .,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,4,444.0,17500000.0,8,5,776,0.01126126126126126,1.0,4
Villa,With 15%  receive finished duplex in Eastown Sodic,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6.0,6,518.0,17000000.0,8,5,530,0.011583011583011582,0.8571428571428571,4
Townhouse,standalone in palm hills katameya EX. PK2 for sale,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,5,225.0,10000000.0,6,5,794,0.022222222222222223,0.8333333333333334,3
Duplex,Studio 63 m 1 bedroom in Golf Vistas Uptown Cairo,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,236.0,8525000.0,5,5,291,0.012711864406779662,0.6,3
Villa,Special unit at Dejoya with the lowest price ,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,357.0,11000000.0,8,5,581,0.011204481792717087,0.8,4
Apartment,Apartment for sale under market price in eastown  ,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,210.0,4100000.0,3,5,291,0.014285714285714285,0.6,3
Townhouse,sky villa 0% Dp Up To 8 Years with Prime Location ,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4.0,4,200.0,5800000.0,6,4,90,0.02,0.8,2
Apartment,Terraces Apartment 240m Prime Location Park VIEW,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4.0,4,214.0,3000000.0,3,4,398,0.018691588785046728,0.8,3
Apartment,Amazing Standalone With Best View In Mivida,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,240.0,6450000.0,3,5,291,0.016666666666666666,0.8,3
Villa,penthouse fully finished for sale at Regents park ,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,3,254.0,15000000.0,8,5,488,0.015748031496062992,1.0,3
Penthouse,Flat  195 m with Garden 107 m at HAP town For Sale,"Regents Park, Al Andalus District, New Cairo City, Cairo",4.0,4,276.0,7300000.0,7,4,605,0.014492753623188406,0.8,3
Apartment,Apartment With Best View In Mountain View HP,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3.0,3,195.0,2865000.0,3,4,379,0.015384615384615385,0.75,2
Apartment,"200m with garden  Dp 1,8 m total 2,480 m","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,274.0,4000000.0,3,5,534,0.010948905109489052,0.75,3
Apartment,Town house delivery after 20 months at Hyde Park,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,2,192.0,5396349.0,3,5,776,0.015625,1.0,2
Apartment,Apartment Ready to move Palm hills Capital Gardens,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,200.0,1800000.0,3,5,663,0.015,0.75,2
Townhouse,Apartment or sale 150m Stone Residence Compound   ,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,247.0,7500000.0,6,5,396,0.016194331983805668,0.8,3
Apartment,Own Your Best Townhouse in Sodic Villette,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4.0,5,250.0,2340000.0,3,4,244,0.016,0.6666666666666666,3
Apartment,فيلا للبيع 717 متر بالتجمع الخامس بجوار Garden 8,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,155.0,2250000.0,3,5,663,0.012903225806451613,0.6666666666666666,2
Townhouse,Villa With Garden For Sale In Maadi ,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,257.0,7712000.0,6,5,776,0.011673151750972763,0.75,3
Villa,HOT DEAL; best price for villa in lake view,"La Nuova Vista, North Investors Area, New Cairo City, Cairo",5.0,5,714.0,9000000.0,8,4,440,0.0070028011204481795,0.8333333333333334,4
Villa,Apartment for sale at Sarai Under Market Price,"Street 72, Hadayek El Maadi, Hay El Maadi, Cairo",6.0,6,850.0,15000000.0,8,4,705,0.007058823529411765,0.8571428571428571,4
Villa,Villa With Pool City View Finished In Reyna,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,820.0,21500000.0,8,5,450,0.004878048780487805,0.8,4
Penthouse,Standalone Villa In PK1 Prime Location,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,180.0,8971000.0,7,5,776,0.016666666666666666,0.75,2
Apartment,El Patio Oro. Delivered Twin House For Sale .,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3.0,4,180.0,1585000.0,3,4,632,0.016666666666666666,0.6,2
Villa,Apartment in Lake View Residence For Sale ,"Reyna, Uptown Cairo, Mokattam, Cairo",5.0,5,440.0,35000000.0,8,4,611,0.011363636363636364,0.8333333333333334,4
Villa,good deal twon house in Mountain View Hyde Park,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5.0,5,,14000000.0,8,5,582,,0.8333333333333334,
Penthouse,penthouse 189m-Galleria-F.F+installment-R.2deliver,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3.0,4,189.0,3650000.0,7,4,355,0.015873015873015872,0.6,2
Duplex,Triplex Full Finished For Sale 317M Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,317.0,7900000.0,5,5,291,0.012618296529968454,0.8,4
Villa,Standalone Villa 472m. |City View|Terencia- Uptown,"Terencia, Uptown Cairo, Mokattam, Cairo",5.0,7,472.0,20000000.0,8,4,739,0.01059322033898305,0.625,4
Duplex,Duplex For Sale In Eastown Sodic Open View ,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,234.0,5640000.0,5,5,291,0.01282051282051282,0.6,3
Apartment,Villa for sale in Madinaty super lux ,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,196.0,3000000.0,3,5,396,0.015306122448979591,0.75,2
Villa,Duplex for sale - Hegaz Street - Heliopolis,"Madinaty, Cairo",5.0,5,550.0,20000000.0,8,2,467,0.00909090909090909,0.8333333333333334,4
Duplex,Apartment 121 m2 fully finished in The Square ,"Al Hegaz St., El Mahkama Square, Heliopolis - Masr El Gedida, Cairo",3.0,2,180.0,2800000.0,5,4,105,0.016666666666666666,1.0,2
Apartment,Apartment for sale ready to move fully finished,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,121.0,2000000.0,3,5,754,0.01652892561983471,0.6666666666666666,2
Apartment,Apartment For Sale in AZAD Compound New Cairo .,"Al Gezira St., South Investors Area, New Cairo City, Cairo",3.0,2,200.0,1900000.0,3,4,97,0.015,1.0,2
Apartment,Largest Apartment in Eastown Sodic ,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,182.0,3350000.0,3,5,221,0.016483516483516484,0.75,2
Apartment,Apartment For Sale In New Maadi,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,232.0,5000000.0,3,5,291,0.01293103448275862,0.75,3
Apartment,شقه للبيع سوبر لوكس 180متر مدينه نصر,"Tunis St., New Maadi, Hay El Maadi, Cairo",4.0,2,230.0,2300000.0,3,4,769,0.017391304347826087,1.3333333333333333,3
Apartment,BEST PRICED APARTMENT IN WATERWAY FULLY FINISHED !,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",2.0,2,134.0,2500000.0,3,4,90,0.014925373134328358,0.6666666666666666,2
